AARON,0.002
ABBEY,0.004
ABBIE,0.008
ABBY,0.016
ABIGAIL,0.025
ADA,0.057
ADAH,0.001
ADALINE,0.002
ADAM,0.001
ADDIE,0.026
ADELA,0.014
ADELAIDA,0.004
ADELAIDE,0.008
ADELE,0.025
ADELIA,0.003
ADELINA,0.007
ADELINE,0.018
ADELL,0.005
ADELLA,0.003
ADELLE,0.003
ADENA,0.001
ADINA,0.003
ADRIA,0.003
ADRIAN,0.009
ADRIANA,0.025
ADRIANE,0.004
ADRIANNA,0.004
ADRIANNE,0.007
ADRIEN,0.001
ADRIENE,0.002
ADRIENNE,0.039
AFTON,0.003
AGATHA,0.007
AGNES,0.098
AGNUS,0.001
AGRIPINA,0.001
AGUEDA,0.001
AGUSTINA,0.003
AI,0.001
AIDA,0.023
AIDE,0.001
AIKO,0.001
AILEEN,0.016
AILENE,0.001
AIMEE,0.027
AISHA,0.009
AJA,0.003
AKIKO,0.002
AKILAH,0.001
ALAINA,0.005
ALAINE,0.001
ALANA,0.012
ALANE,0.001
ALANNA,0.004
ALAYNA,0.001
ALBA,0.009
ALBERT,0.001
ALBERTA,0.052
ALBERTHA,0.003
ALBERTINA,0.002
ALBERTINE,0.003
ALBINA,0.004
ALDA,0.004
ALEASE,0.001
ALECIA,0.007
ALEEN,0.001
ALEIDA,0.002
ALEISHA,0.001
ALEJANDRA,0.012
ALEJANDRINA,0.002
ALENA,0.003
ALENE,0.007
ALESHA,0.004
ALESHIA,0.001
ALESIA,0.004
ALESSANDRA,0.001
ALETA,0.004
ALETHA,0.006
ALETHEA,0.003
ALETHIA,0.002
ALEX,0.002
ALEXA,0.006
ALEXANDER,0.002
ALEXANDRA,0.039
ALEXANDRIA,0.014
ALEXIA,0.003
ALEXIS,0.03
ALFREDA,0.009
ALFREDIA,0.001
ALI,0.002
ALIA,0.002
ALICA,0.002
ALICE,0.357
ALICIA,0.146
ALIDA,0.003
ALINA,0.006
ALINE,0.011
ALISA,0.02
ALISE,0.002
ALISHA,0.027
ALISHIA,0.002
ALISIA,0.002
ALISON,0.05
ALISSA,0.011
ALITA,0.001
ALIX,0.002
ALIZA,0.002
ALLA,0.002
ALLEEN,0.001
ALLEGRA,0.002
ALLEN,0.002
ALLENA,0.001
ALLENE,0.008
ALLIE,0.013
ALLINE,0.002
ALLISON,0.092
ALLYN,0.001
ALLYSON,0.013
ALMA,0.111
ALMEDA,0.003
ALMETA,0.002
ALONA,0.001
ALPHA,0.005
ALTA,0.019
ALTAGRACIA,0.004
ALTHA,0.002
ALTHEA,0.012
ALVA,0.006
ALVERA,0.002
ALVERTA,0.001
ALVINA,0.006
ALYCE,0.01
ALYCIA,0.003
ALYSA,0.001
ALYSE,0.002
ALYSHA,0.002
ALYSIA,0.003
ALYSON,0.009
ALYSSA,0.031
AMADA,0.003
AMAL,0.001
AMALIA,0.01
AMANDA,0.404
AMBER,0.16
AMBERLY,0.001
AMEE,0.001
AMELIA,0.052
AMERICA,0.003
AMI,0.004
AMIE,0.013
AMIEE,0.001
AMINA,0.002
AMIRA,0.001
AMMIE,0.002
AMPARO,0.009
AMY,0.451
AN,0.001
ANA,0.12
ANABEL,0.004
ANALISA,0.001
ANAMARIA,0.001
ANASTACIA,0.003
ANASTASIA,0.01
ANDERA,0.001
ANDRA,0.005
ANDRE,0.002
ANDREA,0.236
ANDREE,0.002
ANDREW,0.002
ANDRIA,0.005
ANETTE,0.002
ANGEL,0.035
ANGELA,0.468
ANGELE,0.002
ANGELENA,0.002
ANGELES,0.002
ANGELIA,0.017
ANGELIC,0.002
ANGELICA,0.039
ANGELIKA,0.002
ANGELINA,0.037
ANGELINE,0.017
ANGELIQUE,0.009
ANGELITA,0.009
ANGELLA,0.003
ANGELO,0.002
ANGELYN,0.001
ANGIE,0.054
ANGILA,0.001
ANGLA,0.001
ANGLE,0.002
ANGLEA,0.003
ANH,0.004
ANIKA,0.003
ANISA,0.001
ANISHA,0.001
ANISSA,0.005
ANITA,0.162
ANITRA,0.003
ANJA,0.001
ANJANETTE,0.002
ANJELICA,0.001
ANN,0.364
ANNA,0.44
ANNABEL,0.003
ANNABELL,0.002
ANNABELLE,0.012
ANNALEE,0.002
ANNALISA,0.002
ANNAMAE,0.002
ANNAMARIA,0.001
ANNAMARIE,0.005
ANNE,0.228
ANNELIESE,0.003
ANNELLE,0.001
ANNEMARIE,0.006
ANNETT,0.002
ANNETTA,0.006
ANNETTE,0.125
ANNICE,0.002
ANNIE,0.216
ANNIKA,0.001
ANNIS,0.002
ANNITA,0.001
ANNMARIE,0.009
ANTHONY,0.003
ANTIONETTE,0.008
ANTOINETTE,0.048
ANTONETTA,0.001
ANTONETTE,0.005
ANTONIA,0.035
ANTONIETTA,0.002
ANTONINA,0.003
ANTONIO,0.002
ANYA,0.002
APOLONIA,0.001
APRIL,0.154
APRYL,0.002
ARA,0.001
ARACELI,0.01
ARACELIS,0.002
ARACELY,0.004
ARCELIA,0.003
ARDATH,0.001
ARDELIA,0.001
ARDELL,0.002
ARDELLA,0.002
ARDELLE,0.001
ARDIS,0.004
ARDITH,0.004
ARETHA,0.006
ARGELIA,0.001
ARGENTINA,0.001
ARIANA,0.005
ARIANE,0.002
ARIANNA,0.002
ARIANNE,0.001
ARICA,0.001
ARIE,0.002
ARIEL,0.007
ARIELLE,0.003
ARLA,0.002
ARLEAN,0.001
ARLEEN,0.007
ARLENA,0.002
ARLENE,0.094
ARLETHA,0.001
ARLETTA,0.002
ARLETTE,0.003
ARLINDA,0.001
ARLINE,0.01
ARLYNE,0.001
ARMANDA,0.002
ARMANDINA,0.001
ARMIDA,0.004
ARMINDA,0.002
ARNETTA,0.002
ARNETTE,0.001
ARNITA,0.002
ARTHUR,0.002
ARTIE,0.004
ARVILLA,0.002
ASHA,0.003
ASHANTI,0.001
ASHELY,0.003
ASHLEA,0.001
ASHLEE,0.013
ASHLEIGH,0.008
ASHLEY,0.303
ASHLI,0.002
ASHLIE,0.003
ASHLY,0.003
ASHLYN,0.002
ASHTON,0.004
